format,objectid,title,date,creator,description,provider,filename,url
image/jpeg,03e62deae73416d15c434f6f2d7ffd1b,"The Steerage",,"Alfred Stieglitz","Photograph","The Museum of Modern Art (MoMA)",https://dp.la/thumb/03e62deae73416d15c434f6f2d7ffd1b,http://www.moma.org/collection/works/53358
image/jpeg,15528e1c21bdca49daa2fb7dda267eae,"Labor:Strikes:New York City, New York:union men picketing Macy's FSA photo by Dorothea Lange",,"Roosevelt, Franklin D. (Franklin Delano), 1882-1945",,"Franklin D. Roosevelt Library",https://dp.la/thumb/15528e1c21bdca49daa2fb7dda267eae,http://catalog.archives.gov/id/196512
image/jpeg,298c7f062c79315aef106c1cc42424e2,"Civil Rights - protest",,,"A group of African-American men hold signs reading, ”I am a man.”","Memphis Public Library",https://dp.la/thumb/298c7f062c79315aef106c1cc42424e2,http://cdm16108.contentdm.oclc.org/cdm/ref/collection/p16108coll3/id/52
image/jpeg,36582ada4397bf999f406b6d8d9d6b89,"Civil War P.5",,"Brady, Matthew","25699 Collecting remains of the dead at Cold Harbor, Civil War battle. Matthew Brady photo (probably) SLT #4921","Department of Heritage and Arts",https://dp.la/thumb/36582ada4397bf999f406b6d8d9d6b89,https://utah-primoprod.hosted.exlibrisgroup.com/primo-explore/fulldisplay?docid=digcoll_uuu_11dha_cp/450168&context=L&vid=MWDL
image/jpeg,3d598019f0f03944e0b30cd9064636f9,"Breaker boys. Smallest is Angelo Ross. Hughestown Borough Coal Co. Pittston, Pa.",,"Department of Commerce and Labor. Children's Bureau. 1912-1913",,"National Archives at College Park - Still Pictures",https://dp.la/thumb/3d598019f0f03944e0b30cd9064636f9,http://catalog.archives.gov/id/523384
image/jpeg,43a0100596b9fe0461f1757167d8e8c2,"Rouen",,"Henri Cartier-Bresson","Photograph","The Museum of Modern Art (MoMA)",https://dp.la/thumb/43a0100596b9fe0461f1757167d8e8c2,http://www.moma.org/collection/works/57825
image/jpeg,4743605811f3ad4a407b605462cd9f77,"Workers Parade",,"Tina Modotti","Photograph","The Museum of Modern Art (MoMA)",https://dp.la/thumb/4743605811f3ad4a407b605462cd9f77,http://www.moma.org/collection/works/46178
image/jpeg,4d273295682e958a952c1f6e732303f0,"National Child Labor Committee exhibition panel",,"Lewis W. Hine","Photograph","The Museum of Modern Art (MoMA)",https://dp.la/thumb/4d273295682e958a952c1f6e732303f0,http://www.moma.org/collection/works/168532
image/jpeg,5c63663c8055382a9ec6da085b0ea18e,"A woman with a baby in her arms, sits next to six children sleeping on a mattress on the floor","circa 1910","Riis, Jacob August (American journalist, reformer, photographer, 1849-1914)",,"Cornell University",https://dp.la/thumb/5c63663c8055382a9ec6da085b0ea18e,http://search.openlibrary.artstor.org/object/SS7729536_7729536_1668737_CORNELL
image/jpeg,639f5fd3c96166cd34e8c27f9eb0d747,"Clinton, Louisiana",,"Margaret Bourke-White","Photograph","The Museum of Modern Art (MoMA)",https://dp.la/thumb/639f5fd3c96166cd34e8c27f9eb0d747,http://www.moma.org/collection/works/46827
